magnet,cell_i,cell_j,sample,t_s,x_mm,y_mm,z_mm,Bx_uT,By_uT,Bz_uT,Babs_uT,Bbx_uT,Bby_uT,Bbz_uT,ax_g,ay_g,az_g,tilt_deg,gain_idx,qmc
m1,0,1,5,0.843,-40.000,0.000,0.000,-126.3740,-128.0096,244.9870,303.9334,-223.1200,-45.7100,-201.2550,-1.81929,-2.81013,-2.26496,124.082,0,1
m1,0,1,6,1.056,-40.000,0.000,0.000,-125.6088,-126.8872,246.3556,304.2516,-223.3700,-46.7767,-201.2133,-1.81441,-2.78327,-2.25519,124.168,0,1
m1,0,1,7,1.252,-40.000,0.000,0.000,-126.0104,-126.5610,246.0763,304.0556,-223.5367,-47.2100,-200.6300,-1.82845,-2.81319,-2.26801,124.058,0,1
m1,0,1,8,1.463,-40.000,0.000,0.000,-128.3157,-126.4500,243.9712,303.2762,-223.9533,-45.6683,-199.3383,-1.80647,-2.80830,-2.26618,124.164,0,1
m1,0,1,9,1.659,-40.000,0.000,0.000,-127.9996,-126.7708,245.2560,304.3111,-224.7617,-46.3183,-199.8550,-1.81319,-2.80098,-2.25092,124.004,0,1
m1,0,1,10,1.853,-40.000,0.000,0.000,-128.3860,-128.6138,245.6232,305.5408,-225.2200,-45.3183,-201.4383,-1.80952,-2.79731,-2.24847,124.015,0,1
m1,1,1,1,0.024,0.000,0.000,0.000,-140.4731,-183.0976,129.9267,264.8365,-183.8283,73.3650,-175.9633,-1.80403,-2.80098,-2.25275,124.065,0,1
m1,1,1,2,0.233,0.000,0.000,0.000,-138.3924,-183.5707,132.3018,265.2441,-183.4117,72.1567,-177.5050,-1.83394,-2.80098,-2.25031,123.907,0,1
m1,1,1,3,0.431,0.000,0.000,0.000,-139.7468,-186.5984,133.1834,268.4883,-184.7200,73.3650,-180.5050,-1.81380,-2.80464,-2.25885,124.070,0,1
m1,1,1,4,0.653,0.000,0.000,0.000,-140.5469,-188.7255,134.2680,270.9218,-186.1617,74.6400,-182.1300,-1.82662,-2.79731,-2.24786,123.934,0,1
m1,1,1,5,0.85,0.000,0.000,0.000,-141.4159,-190.3490,133.4695,272.1127,-186.2867,76.0567,-183.1883,-1.81380,-2.81013,-2.26557,124.113,0,1
m1,1,1,6,1.052,0.000,0.000,0.000,-142.0367,-191.2464,134.4533,273.5458,-187.3867,76.2817,-184.1050,-1.81746,-2.80464,-2.25763,124.040,0,1
m1,1,1,7,1.254,0.000,0.000,0.000,-142.3728,-192.4218,136.1444,275.3752,-188.4700,75.8483,-185.8967,-1.81624,-2.80220,-2.25153,123.990,0,1
m1,1,1,8,1.45,0.000,0.000,0.000,-141.2507,-193.0918,137.5985,275.9884,-188.1367,76.2817,-186.9633,-1.81380,-2.78022,-2.26801,124.342,0,1
m1,1,1,9,1.658,0.000,0.000,0.000,-141.5040,-190.9620,135.3703,273.5233,-187.4283,76.0983,-184.1050,-1.81502,-2.78144,-2.25275,124.148,0,1
