cell_i,cell_j,sample,t_s,x_mm,y_mm,z_mm,Bx_uT,By_uT,Bz_uT,Babs_uT,Bbx_uT,Bby_uT,Bbz_uT,ax_g,ay_g,az_g,tilt_deg,gain_idx,qmc
0,0,1,0.005,-40.000,40.000,0.000,102.8183,-49.6875,-53.5701,126.1356,115.9350,31.5817,-38.3650,-1.82662,-2.77411,-2.22283,123.792,0,1
0,0,2,0.226,-40.000,40.000,0.000,103.3352,-49.4145,-54.2410,126.7361,116.7017,31.6650,-37.9483,-1.85104,-2.80891,-2.25092,123.787,0,1
0,0,3,0.422,-40.000,40.000,0.000,104.1346,-49.4165,-53.0517,126.8877,116.8683,31.4567,-38.1150,-1.80159,-2.78327,-2.24664,124.123,0,1
0,0,4,0.618,-40.000,40.000,0.000,103.6336,-49.2359,-53.2148,126.4750,116.4933,31.7067,-37.6817,-1.79609,-2.78266,-2.24420,124.122,0,1
0,0,5,0.826,-40.000,40.000,0.000,103.1035,-48.6382,-53.2019,125.8032,116.0183,31.0150,-37.4733,-1.80403,-2.76740,-2.22283,123.936,0,1
0,0,6,1.022,-40.000,40.000,0.000,104.3292,-48.6710,-52.9429,126.7138,116.9933,30.8067,-37.6817,-1.79853,-2.77534,-2.24054,124.117,0,1
0,0,7,1.23,-40.000,40.000,0.000,104.9777,-47.8374,-54.2058,127.4637,118.1433,30.5983,-36.7817,-1.79060,-2.75397,-2.20879,123.917,0,1
0,0,8,1.425,-40.000,40.000,0.000,104.0975,-46.6003,-54.7849,126.5277,117.6183,30.5983,-35.1983,-1.78327,-2.75214,-2.20269,123.888,0,1
0,0,9,1.621,-40.000,40.000,0.000,103.9718,-45.3534,-54.5879,125.8845,117.4100,30.2483,-33.8650,-1.79060,-2.77656,-2.24725,124.223,0,1
0,0,10,1.831,-40.000,40.000,0.000,107.0606,-45.0789,-55.3510,128.6772,120.5183,29.0150,-34.5150,-1.78755,-2.75336,-2.21001,123.949,0,1
1,0,1,0.01,0.000,40.000,0.000,53.8054,-58.2144,-63.2092,101.3871,76.2267,61.7817,-25.5317,-1.68742,-2.68987,-2.10928,123.595,0,1
1,0,2,0.206,0.000,40.000,0.000,50.1339,-60.5287,-64.8972,101.9253,73.7683,65.3900,-25.9067,-1.66239,-2.64591,-2.05006,123.267,0,1
1,0,3,0.412,0.000,40.000,0.000,60.7491,-61.3474,-64.1309,107.5487,82.7433,62.1400,-29.3067,-1.66606,-2.68559,-2.09768,123.574,0,1
1,0,4,0.622,0.000,40.000,0.000,59.5818,-56.6273,-62.4889,103.2546,81.0600,58.2233,-26.4733,-1.65934,-2.66056,-2.06716,123.395,0,1
1,0,5,0.832,0.000,40.000,0.000,56.0177,-62.1261,-63.6732,105.1280,78.3100,63.8483,-29.0317,-1.66239,-2.67949,-2.08547,123.479,0,1
1,0,6,1.045,0.000,40.000,0.000,53.6285,-60.7368,-65.4720,104.1708,77.0350,64.8650,-26.6400,-1.65324,-2.65690,-2.05250,123.261,0,1
1,0,7,1.256,0.000,40.000,0.000,56.6470,-61.3580,-66.8751,106.9859,80.1183,65.7233,-26.5983,-1.64469,-2.68254,-2.08791,123.566,0,1
1,0,8,1.462,0.000,40.000,0.000,55.2114,-59.8904,-68.1748,106.2212,79.5183,65.8650,-24.9317,-1.63187,-2.65201,-2.03663,123.187,0,1
1,0,9,1.659,0.000,40.000,0.000,56.4191,-58.9062,-67.0571,105.5922,79.9100,64.5317,-24.4900,-1.63309,-2.68254,-2.08120,123.532,0,1
