cell_i,cell_j,sample,t_s,x_mm,y_mm,z_mm,Bx_uT,By_uT,Bz_uT,Babs_uT,Bbx_uT,Bby_uT,Bbz_uT,ax_g,ay_g,az_g,tilt_deg,gain_idx,qmc
0,0,1,0.006,-40.000,40.000,0.000,76.7664,11.4420,180.1735,196.1797,-11.4617,-160.5700,-112.1267,-1.68437,-2.65995,-2.09890,123.690,0,1
0,0,2,0.227,-40.000,40.000,0.000,76.5951,12.5609,177.7760,193.9817,-12.0700,-159.3200,-110.0017,-1.73871,-2.68987,-2.12759,123.595,0,1
0,0,3,0.437,-40.000,40.000,0.000,75.8058,13.8260,175.6841,191.8400,-11.3367,-157.9450,-108.2933,-1.74542,-2.70879,-2.16056,123.841,0,1
0,0,4,0.647,-40.000,40.000,0.000,77.0281,13.4132,177.5278,193.9829,-11.9450,-159.9200,-109.1433,-1.74725,-2.69231,-2.12515,123.510,0,1
0,0,5,0.858,-40.000,40.000,0.000,76.0729,12.3567,175.4150,191.5991,-11.2117,-157.0450,-109.1850,-1.74725,-2.70574,-2.15324,123.764,0,1
0,0,6,1.067,-40.000,40.000,0.000,77.6265,10.4611,175.0009,191.7306,-10.5867,-157.7783,-108.4183,-1.70024,-2.63248,-2.02930,122.925,0,1
0,0,7,1.277,-40.000,40.000,0.000,75.0972,7.0590,176.6257,192.0574,-11.1283,-157.1283,-109.8767,-1.61172,-2.59524,-1.96093,122.696,0,1
0,0,8,1.487,-40.000,40.000,0.000,73.2976,6.7455,172.1674,187.2423,-8.2950,-153.4033,-107.0433,-1.55250,-2.58852,-1.94872,122.847,0,1
0,0,9,1.684,-40.000,40.000,0.000,72.7201,9.7386,170.7444,185.8405,-8.9617,-153.0033,-105.1017,-1.60806,-2.63492,-2.02137,123.218,0,1
0,0,10,1.909,-40.000,40.000,0.000,74.6500,9.8264,172.4184,188.1417,-9.7367,-154.7783,-106.5183,-1.63126,-2.60806,-2.00366,123.078,0,1
1,0,1,0.004,0.000,40.000,0.000,122.0555,-132.3302,295.0483,345.6333,-20.4033,-167.5033,-301.6433,-1.69658,-2.70940,-2.14774,123.895,4,1
1,0,2,0.216,0.000,40.000,0.000,124.7495,-133.8092,292.5861,345.0710,-19.9033,-167.6033,-300.9767,-1.70940,-2.67949,-2.09585,123.402,4,1
1,0,3,0.423,0.000,40.000,0.000,124.1296,-130.3668,294.2066,344.9075,-20.5700,-168.7367,-300.1100,-1.73443,-2.71795,-2.15446,123.751,4,1
1,0,4,0.633,0.000,40.000,0.000,127.5966,-126.8733,289.6870,341.0224,-16.1700,-168.7367,-295.9100,-1.73504,-2.70208,-2.14469,123.738,4,1
1,0,5,0.83,0.000,40.000,0.000,125.7377,-123.6528,289.9730,339.3882,-17.1033,-168.9033,-293.8767,-1.77534,-2.77289,-2.22283,124.024,4,1
1,0,6,1.026,0.000,40.000,0.000,130.8434,-124.0668,288.3853,340.1156,-14.3033,-170.5033,-293.9433,-1.80403,-2.77289,-2.20330,123.665,4,1
1,0,7,1.234,0.000,40.000,0.000,128.7179,-128.1190,287.1977,339.8019,-15.4700,-167.5033,-295.2433,-1.74664,-2.69658,-2.12637,123.498,4,1
1,0,8,1.43,0.000,40.000,0.000,127.8182,-125.9825,290.0918,341.1192,-15.4033,-169.4700,-295.6433,-1.73748,-2.72039,-2.16239,123.818,4,1
1,0,9,1.625,0.000,40.000,0.000,126.6291,-125.5882,287.4732,338.3018,-15.9367,-166.2367,-294.2100,-1.77961,-2.76313,-2.21490,123.977,4,1
1,0,10,1.833,0.000,40.000,0.000,128.3457,-123.6927,287.8610,338.5801,-15.4033,-168.6033,-293.2100,-1.77656,-2.74298,-2.19353,123.870,4,1
2,0,1,0.008,40.000,40.000,0.000,108.9292,-300.0790,258.8644,411.0033,-17.3367,-33.4033,-409.2767,-1.71551,-2.71368,-2.14957,123.804,4,1
2,0,2,0.204,40.000,40.000,0.000,113.0280,-305.5967,254.9166,413.6993,-12.9700,-30.4033,-412.3767,-1.73565,-2.72894,-2.14225,123.520,4,1
2,0,3,0.411,40.000,40.000,0.000,112.6016,-310.7952,256.6101,418.4752,-14.0700,-28.8367,-417.2433,-1.70208,-2.68010,-2.09768,123.453,4,1
2,0,4,0.608,40.000,40.000,0.000,112.5936,-311.0185,257.1207,418.9521,-14.3033,-25.8367,-417.9100,-1.73504,-2.71551,-2.15934,123.826,4,1
2,0,5,0.83,40.000,40.000,0.000,109.4033,-313.9914,255.8570,419.5504,-17.7700,-24.7367,-418.4433,-1.71245,-2.66606,-2.09096,123.420,4,1
2,0,6,1.041,40.000,40.000,0.000,111.6013,-312.4134,257.3795,419.8823,-16.1033,-26.9033,-418.7100,-1.72589,-2.69292,-2.11905,123.525,4,1
2,0,7,1.237,40.000,40.000,0.000,116.0176,-310.4564,253.9834,417.5533,-9.5700,-25.8367,-416.6433,-1.72100,-2.70330,-2.14286,123.770,4,1
2,0,8,1.446,40.000,40.000,0.000,116.5220,-311.3176,256.4136,419.8142,-11.5033,-28.1700,-418.7100,-1.72894,-2.68987,-2.12149,123.563,4,1
2,0,9,1.642,40.000,40.000,0.000,116.1438,-309.8556,261.5019,421.7619,-13.4700,-30.9367,-420.4100,-1.74176,-2.71734,-2.15995,123.791,4,1
2,0,10,1.853,40.000,40.000,0.000,114.8405,-310.3725,258.9493,420.2073,-14.5700,-30.0700,-418.8767,-1.73016,-2.68254,-2.11416,123.517,4,1
0,1,1,0.009,-40.000,0.000,0.000,-18.8318,18.8185,152.6293,154.9338,-82.3367,-115.1117,-63.0433,-1.53297,-2.58730,-1.94628,122.910,0,1
0,1,2,0.221,-40.000,0.000,0.000,-19.2241,19.1730,154.9108,157.2721,-83.2367,-116.6533,-64.7933,-1.55861,-2.64042,-2.01221,123.276,0,1
