cell_i,cell_j,sample,t_s,x_mm,y_mm,z_mm,Bx_uT,By_uT,Bz_uT,Babs_uT,Bbx_uT,Bby_uT,Bbz_uT,ax_g,ay_g,az_g,tilt_deg,gain_idx,qmc
0,1,3,0.428,-40.000,0.000,0.000,-17.3764,17.9922,157.3951,159.3703,-85.0867,-117.5700,-65.8517,-1.58669,-2.57753,-1.93712,122.619,0,1
0,1,4,0.638,-40.000,0.000,0.000,-18.7781,20.1987,157.2417,159.6420,-85.4867,-117.6950,-65.7683,-1.62576,-2.64957,-2.05617,123.482,0,1
0,1,5,0.851,-40.000,0.000,0.000,-16.1253,21.9441,156.4399,158.7923,-84.5867,-117.7367,-64.7933,-1.72589,-2.70147,-2.12759,123.572,0,1
0,1,6,1.059,-40.000,0.000,0.000,-16.8006,22.4825,158.4464,160.9130,-85.9867,-118.8783,-66.0850,-1.74176,-2.71795,-2.16850,123.891,0,1
0,1,7,1.269,-40.000,0.000,0.000,-16.1954,23.9862,157.1624,159.8050,-85.4033,-118.6283,-64.5850,-1.78816,-2.75458,-2.21429,123.990,0,1
0,1,8,1.481,-40.000,0.000,0.000,-16.3281,24.9228,155.2661,158.0991,-84.2533,-117.9033,-63.2100,-1.79426,-2.78022,-2.24603,124.168,0,1
0,1,9,1.688,-40.000,0.000,0.000,-15.4541,24.8721,156.1254,158.8477,-84.1700,-118.9200,-63.2933,-1.77350,-2.74237,-2.19414,123.895,0,1
0,1,10,1.887,-40.000,0.000,0.000,-15.4419,25.4132,157.1250,159.9142,-84.3367,-119.7950,-64.1017,-1.79915,-2.78571,-2.25031,124.160,0,1
1,1,1,0.014,0.000,0.000,0.000,-53.6878,-54.9415,258.9714,270.1243,-164.6533,-126.4867,-172.7933,-1.80342,-2.77839,-2.24420,124.119,0,1
1,1,2,0.224,0.000,0.000,0.000,-52.7414,-57.0736,257.5523,269.0209,-163.7117,-125.7533,-172.5017,-1.76984,-2.72894,-2.16300,123.624,0,1
1,1,3,0.419,0.000,0.000,0.000,-54.4396,-55.5796,256.9779,268.4966,-163.9867,-125.5283,-171.5850,-1.76618,-2.74603,-2.19658,123.932,0,1
1,1,4,0.616,0.000,0.000,0.000,-54.1471,-55.9101,258.0769,269.5580,-164.5700,-125.6117,-172.6267,-1.79365,-2.77228,-2.22711,123.999,0,1
1,1,5,0.824,0.000,0.000,0.000,-53.2034,-56.1244,257.3137,268.6836,-164.1533,-124.9450,-172.1433,-1.79243,-2.74664,-2.20269,123.885,0,1
1,1,6,1.034,0.000,0.000,0.000,-52.9631,-56.4534,258.6106,269.9473,-164.3617,-125.8367,-173.2683,-1.81624,-2.78877,-2.23626,123.899,0,1
1,1,7,1.244,0.000,0.000,0.000,-51.4062,-56.0648,259.5501,270.4665,-164.6117,-126.3367,-173.4767,-1.83944,-2.78144,-2.23565,123.839,0,1
1,1,8,1.469,0.000,0.000,0.000,-51.0816,-57.7853,260.8225,271.9869,-164.2783,-127.2117,-175.5183,-1.81074,-2.76557,-2.20818,123.743,0,1
1,1,9,1.681,0.000,0.000,0.000,-53.1897,-56.8563,260.2941,271.6888,-164.8200,-126.9867,-174.7100,-1.78755,-2.76129,-2.21429,123.947,0,1
1,1,10,1.876,0.000,0.000,0.000,-53.2577,-56.3822,261.0020,272.2818,-165.3783,-127.5867,-174.6683,-1.79853,-2.77167,-2.22405,123.945,0,1
2,1,1,0.014,40.000,0.000,0.000,-111.2651,-165.7045,238.1514,310.7314,-207.4617,-23.4033,-230.1433,-1.83944,-2.81868,-2.23748,123.615,0,1
2,1,2,0.223,40.000,0.000,0.000,-109.8548,-166.7564,243.4456,314.8675,-208.1283,-25.8617,-234.8517,-1.79976,-2.76313,-2.22344,123.990,0,1
2,1,3,0.422,40.000,0.000,0.000,-109.0727,-168.6972,244.2205,316.2266,-207.4200,-25.4617,-237.3350,-1.80220,-2.77839,-2.24237,124.102,0,1
2,1,4,0.617,40.000,0.000,0.000,-112.6955,-168.3062,243.3144,316.5899,-210.2950,-24.1533,-235.4183,-1.79792,-2.77350,-2.23077,124.016,0,1
2,1,5,0.838,40.000,0.000,0.000,-112.2040,-168.3520,243.7828,316.7999,-210.0867,-25.0450,-235.7933,-1.78388,-2.75519,-2.20757,123.924,0,1
2,1,6,1.035,40.000,0.000,0.000,-113.3708,-168.9049,244.5788,318.1205,-211.4450,-24.6950,-236.3933,-1.79182,-2.76740,-2.22100,123.967,0,1
2,1,7,1.231,40.000,0.000,0.000,-116.3451,-168.3174,242.9234,317.6141,-213.1700,-23.1533,-234.3100,-1.80159,-2.79121,-2.23810,123.968,0,1
2,1,8,1.438,40.000,0.000,0.000,-115.9200,-169.0442,245.7173,319.9849,-214.1117,-23.7950,-236.6017,-1.80037,-2.77778,-2.24542,124.150,0,1
2,1,9,1.651,40.000,0.000,0.000,-117.3938,-171.2610,243.8704,320.2880,-214.9033,-21.9033,-236.4767,-1.80281,-2.78388,-2.21917,123.787,0,1
2,1,10,1.858,40.000,0.000,0.000,-119.3131,-168.4310,245.9024,321.0493,-217.7533,-23.2367,-234.7683,-1.80464,-2.76862,-2.22527,123.954,0,1
0,2,1,0.018,-40.000,-40.000,0.000,-36.5455,16.9564,85.1227,94.1752,-71.0450,-57.1533,-23.5600,-1.74542,-2.70574,-2.13858,123.592,0,1
0,2,2,0.212,-40.000,-40.000,0.000,-40.6047,14.9693,84.1037,94.5847,-73.8783,-54.1950,-23.4767,-1.70024,-2.68193,-2.10317,123.517,0,1
0,2,3,0.408,-40.000,-40.000,0.000,-41.6601,15.7180,84.0799,95.1422,-74.6283,-54.4867,-22.6683,-1.68071,-2.67521,-2.09280,123.521,0,1
0,2,4,0.604,-40.000,-40.000,0.000,-40.6926,15.3937,83.6887,94.3221,-73.7950,-54.1950,-22.6683,-1.67888,-2.65324,-2.06471,123.329,0,1
0,2,5,0.813,-40.000,-40.000,0.000,-41.0513,15.7800,82.5325,93.5192,-73.2367,-53.8617,-21.9350,-1.66484,-2.67399,-2.08181,123.461,0,1
0,2,6,1.02,-40.000,-40.000,0.000,-40.3216,14.7426,82.4503,92.9583,-72.6117,-53.3783,-22.7933,-1.65995,-2.66056,-2.06654,123.384,0,1
0,2,7,1.235,-40.000,-40.000,0.000,-37.3462,16.5906,83.0508,92.5604,-70.3617,-55.7367,-22.5850,-1.69719,-2.69353,-2.10989,123.534,0,1
0,2,8,1.441,-40.000,-40.000,0.000,-37.7699,16.0633,84.7353,94.1523,-71.7950,-56.1700,-23.5600,-1.70391,-2.67033,-2.08974,123.413,0,1
0,2,9,1.653,-40.000,-40.000,0.000,-37.9077,16.6570,83.9207,93.5796,-71.4617,-55.8617,-23.0183,-1.72344,-2.69841,-2.13858,123.740,0,1
0,2,10,1.862,-40.000,-40.000,0.000,-37.8086,16.4948,84.4359,93.9734,-71.7533,-56.0450,-23.2683,-1.72161,-2.68132,-2.11905,123.625,0,1
1,2,1,0.018,0.000,-40.000,0.000,-66.9113,-8.9993,110.0582,129.1159,-109.3617,-47.5450,-49.5017,-1.77717,-2.74725,-2.19475,123.853,0,1
1,2,2,0.216,0.000,-40.000,0.000,-69.3081,-9.1920,110.5214,130.7788,-111.3783,-47.1283,-49.7683,-1.78755,-2.78816,-2.24603,124.143,0,1
1,2,3,0.411,0.000,-40.000,0.000,-68.8568,-10.4702,110.4850,130.6056,-111.2117,-46.2533,-50.5017,-1.79182,-2.77411,-2.22405,123.958,0,1
1,2,4,0.624,0.000,-40.000,0.000,-68.2584,-6.8328,109.5385,129.2463,-110.3783,-47.9450,-47.1433,-1.78632,-2.75397,-2.20513,123.892,0,1
1,2,5,0.829,0.000,-40.000,0.000,-69.3330,-6.4388,110.3833,130.5106,-111.8200,-48.0700,-47.1017,-1.81868,-2.78388,-2.24847,124.065,0,1
1,2,6,1.039,0.000,-40.000,0.000,-69.8440,-6.7511,111.1373,131.4354,-112.5700,-48.4033,-47.5433,-1.79182,-2.75336,-2.21184,123.953,0,1
1,2,7,1.236,0.000,-40.000,0.000,-70.6078,-6.6410,110.9750,131.7005,-113.0033,-48.2367,-47.4183,-1.80098,-2.78144,-2.24237,124.087,0,1
1,2,8,1.431,0.000,-40.000,0.000,-70.4347,-5.8886,110.2666,130.9749,-112.6950,-48.1950,-46.1683,-1.78999,-2.75397,-2.20696,123.898,0,1
1,2,9,1.639,0.000,-40.000,0.000,-70.7571,-6.6374,110.9250,131.7383,-113.4200,-48.2783,-46.4767,-1.74847,-2.69414,-2.12210,123.454,0,1
1,2,10,1.834,0.000,-40.000,0.000,-72.0924,-4.0579,108.9466,130.7024,-113.2117,-48.1950,-44.0850,-1.78449,-2.77717,-2.23993,124.159,0,1
2,2,1,0.023,40.000,-40.000,0.000,-105.0622,-47.8682,96.8548,150.6993,-137.5033,-0.3783,-61.6683,-1.79060,-2.75519,-2.21001,123.924,0,1
2,2,2,0.234,40.000,-40.000,0.000,-105.2633,-47.3082,96.2299,150.2618,-137.2950,-0.6117,-61.0600,-1.77900,-2.75946,-2.20635,123.901,0,1
2,2,3,0.43,40.000,-40.000,0.000,-105.1900,-48.4522,98.0665,151.7550,-138.2367,-1.1117,-62.6017,-1.76435,-2.71978,-2.14652,123.509,0,1
2,2,4,0.641,40.000,-40.000,0.000,-106.1201,-47.7479,98.0610,152.1752,-138.9033,-1.1700,-62.1433,-1.78877,-2.76801,-2.21978,123.962,0,1
2,2,5,0.835,40.000,-40.000,0.000,-105.6414,-48.0851,98.3441,152.1310,-138.6117,-1.1117,-62.6850,-1.80159,-2.77961,-2.24298,124.104,0,1
2,2,6,1.047,40.000,-40.000,0.000,-104.8765,-47.3590,98.4146,151.4180,-138.1533,-1.4200,-61.9600,-1.81990,-2.77656,-2.23687,123.972,0,1
2,2,7,1.283,40.000,-40.000,0.000,-105.7848,-48.1905,98.6730,152.4766,-139.0867,-0.8200,-62.4767,-1.81074,-2.76435,-2.22100,123.905,0,1
2,2,8,1.479,40.000,-40.000,0.000,-105.7254,-47.4998,97.7408,151.6158,-138.4867,-0.8200,-61.7100,-1.80769,-2.77595,-2.24115,124.080,0,1
2,2,9,1.692,40.000,-40.000,0.000,-105.6904,-46.6076,97.9389,151.4423,-138.6533,-1.4200,-60.8933,-1.80159,-2.75458,-2.21001,123.879,0,1
2,2,10,1.886,40.000,-40.000,0.000,-106.7925,-47.3400,99.0289,153.1419,-139.8783,-1.9867,-62.3100,-1.78694,-2.77411,-2.22772,124.023,0,1
