cell_i,cell_j,sample,t_s,x_mm,y_mm,z_mm,Bx_uT,By_uT,Bz_uT,Babs_uT,Bbx_uT,Bby_uT,Bbz_uT,ax_g,ay_g,az_g,tilt_deg,gain_idx,qmc
0,0,1,0.013,-40.000,40.000,0.000,201.2083,-163.0088,113.2397,282.6302,186.1183,-14.0550,-212.2317,-0.17338,-1.15446,-0.84432,125.876,0,1
0,0,2,0.21,-40.000,40.000,0.000,228.4965,-166.2156,1.7151,282.5619,186.3933,-14.6800,-211.8567,-2.80159,-3.30708,-2.27534,117.698,0,1
0,0,3,0.405,-40.000,40.000,0.000,229.3765,-164.0762,19.8526,282.7167,186.2683,-14.4300,-212.1900,-1.96703,-2.65568,-1.90293,119.934,0,1
0,0,4,0.613,-40.000,40.000,0.000,221.6528,-163.5117,62.5268,282.4458,185.6600,-14.5133,-212.3567,-0.70085,-1.51648,-1.09768,123.307,0,1
0,0,5,0.809,-40.000,40.000,0.000,230.4691,-164.0119,-7.7185,282.9761,187.1433,-14.6800,-211.7483,-3.38828,-3.57570,-2.54457,117.319,0,1
0,0,6,1.006,-40.000,40.000,0.000,233.3538,-158.4266,22.2520,282.9278,186.9767,-19.7883,-211.4150,-1.88584,-2.46276,-1.81563,120.342,0,1
0,0,7,1.201,-40.000,40.000,0.000,185.0256,-157.9797,143.6589,282.5419,185.4100,-21.1217,-212.1483,0.00488,-1.46459,-1.08364,126.497,0,1
0,0,8,1.411,-40.000,40.000,0.000,231.3052,-157.2976,42.6628,282.9572,185.5350,-22.2050,-212.4817,-1.36142,-2.10134,-1.56166,121.952,0,1
0,0,9,1.605,-40.000,40.000,0.000,234.0595,-159.2349,0.5237,283.0899,186.4350,-22.3300,-211.8567,-2.64103,-2.84188,-2.03541,117.683,0,1
0,0,10,1.813,-40.000,40.000,0.000,163.1936,-155.0654,171.3673,282.9208,185.9933,-22.2883,-212.0233,0.22833,-1.25824,-0.95971,126.887,0,1
1,0,1,0.03,0.000,40.000,0.000,95.2975,-206.2973,-76.9591,239.9227,122.0767,118.9200,-168.8733,-2.98901,-2.47131,-1.92735,116.425,0,1
1,0,2,0.225,0.000,40.000,0.000,125.7747,-214.7120,-5.2221,248.8931,125.7850,125.1700,-174.5233,-0.22955,-2.26007,-1.70147,126.833,0,1
1,0,3,0.423,0.000,40.000,0.000,121.4669,-213.1320,-30.2768,247.1763,125.0767,125.1700,-172.5817,-0.84371,-2.28449,-1.74298,125.592,0,1
1,0,4,0.645,0.000,40.000,0.000,111.6541,-212.1479,-60.4467,247.2391,126.8933,124.9200,-171.5233,-1.51160,-2.05372,-1.56044,121.464,0,1
1,0,5,0.841,0.000,40.000,0.000,119.3008,-209.4729,37.4755,243.9590,125.0350,123.8950,-168.9150,0.84493,-2.27045,-1.69597,124.995,0,1
1,0,6,1.037,0.000,40.000,0.000,124.2801,-213.4187,20.6386,247.8286,125.8933,125.8117,-172.4567,0.37424,-2.32845,-1.77900,127.029,0,1
1,0,7,1.245,0.000,40.000,0.000,103.5015,-211.2332,-69.5290,245.2882,124.5600,124.3117,-170.8733,-2.25092,-2.41331,-1.85592,119.353,0,1
1,0,8,1.441,0.000,40.000,0.000,125.1693,-210.9133,15.7427,245.7633,125.8933,123.2950,-171.3150,0.14286,-1.85531,-1.44689,127.867,0,1
1,0,9,1.637,0.000,40.000,0.000,112.8715,-212.7853,56.7629,247.4663,126.2683,124.5450,-172.5817,0.95177,-1.64896,-1.24115,123.100,0,1
1,0,10,1.845,0.000,40.000,0.000,102.5879,-213.4590,-75.2582,248.5012,127.0600,125.1283,-173.0650,-2.24481,-2.17582,-1.67827,118.228,0,1
2,0,1,0.025,40.000,40.000,0.000,49.0832,-122.1578,-67.7767,148.0721,60.3933,119.5200,-63.1900,-0.51832,-2.28877,-1.71001,126.080,0,1
2,0,2,0.231,40.000,40.000,0.000,17.8718,-118.7352,-85.8082,147.5821,65.2850,117.8367,-60.2733,-2.06349,-2.24603,-1.67338,118.751,0,1
2,0,3,0.436,40.000,40.000,0.000,87.0985,-120.1619,-28.9198,151.1998,65.7683,122.2950,-59.8317,1.17949,-1.97192,-1.42674,121.837,0,1
2,0,4,0.647,40.000,40.000,0.000,0.9395,-122.0951,-90.4868,151.9735,65.3683,123.5033,-59.7483,-3.06471,-2.39072,-1.80464,114.905,0,1
2,0,5,0.844,40.000,40.000,0.000,78.1110,-121.1890,-50.1120,152.6411,66.4350,123.4617,-60.3567,0.56471,-2.23016,-1.60928,124.974,0,1
2,0,6,1.052,40.000,40.000,0.000,39.4279,-123.5270,-82.1697,153.5100,66.8100,124.0200,-60.9983,-1.15629,-2.33822,-1.77228,124.193,0,1
2,0,7,1.262,40.000,40.000,0.000,23.0299,-124.0274,-89.0187,154.3940,66.8267,124.9200,-61.3733,-1.86874,-2.38278,-1.78571,120.528,0,1
2,0,8,1.473,40.000,40.000,0.000,86.1489,-120.9234,-40.1144,153.7962,67.1600,124.7117,-59.9150,0.95849,-2.14286,-1.51526,122.842,0,1
2,0,9,1.682,40.000,40.000,0.000,50.4920,-122.1026,-78.3818,153.6300,67.6183,124.4783,-59.4567,-0.71306,-2.34432,-1.74969,125.529,0,1
2,0,10,1.891,40.000,40.000,0.000,46.6358,-120.2479,-81.3384,152.4808,66.6017,123.9367,-58.7733,-0.76923,-2.25763,-1.63248,124.390,0,1
0,1,1,0.029,-40.000,0.000,0.000,65.4690,-308.1398,255.2715,405.4625,-51.6900,-20.3300,-401.6400,-1.52381,-2.52625,-1.90965,122.914,4,1
0,1,2,0.233,-40.000,0.000,0.000,70.3294,-278.6221,240.9677,375.0226,-41.5900,-26.3967,-371.7733,-1.56044,-2.55800,-1.96703,123.284,4,1
0,1,3,0.441,-40.000,0.000,0.000,62.5076,-306.3290,257.8615,405.2619,-56.9233,-21.3967,-400.6733,-1.54884,-2.52869,-1.91758,122.889,4,1
0,1,4,0.637,-40.000,0.000,0.000,69.1890,-300.4619,256.5636,401.1102,-50.4567,-24.4300,-397.1733,-1.57753,-2.56349,-1.96337,123.116,4,1
0,1,5,0.848,-40.000,0.000,0.000,72.2708,-305.0729,253.8866,403.4240,-43.6233,-23.9967,-400.3400,-1.48596,-2.49756,-1.88523,122.971,4,1
0,1,6,1.057,-40.000,0.000,0.000,75.8627,-304.3769,259.3370,407.0088,-45.9567,-24.3300,-403.6733,-1.60928,-2.59829,-2.01038,123.336,4,1
