cell_i,cell_j,sample,t_s,x_mm,y_mm,z_mm,Bx_uT,By_uT,Bz_uT,Babs_uT,Bbx_uT,Bby_uT,Bbz_uT,ax_g,ay_g,az_g,tilt_deg,gain_idx,qmc
0,1,7,1.265,-40.000,0.000,0.000,80.0981,-297.7627,261.5251,404.3188,-43.5567,-30.0633,-400.8400,-1.62149,-2.60073,-2.02564,123.462,4,1
0,1,8,1.49,-40.000,0.000,0.000,79.0412,-297.7114,269.6259,409.3626,-47.5233,-34.3633,-405.1400,-1.64652,-2.64835,-2.07509,123.641,4,1
0,1,9,1.685,-40.000,0.000,0.000,85.9485,-302.3890,272.3985,415.9654,-46.6900,-31.4300,-412.1400,-1.74176,-2.68010,-2.14103,123.816,4,1
0,1,10,1.898,-40.000,0.000,0.000,80.1080,-300.3937,269.7962,411.6353,-47.0900,-30.3300,-407.8067,-1.68376,-2.68254,-2.13187,123.945,4,1
1,1,1,0.009,0.000,0.000,0.000,21.0247,-330.2537,77.9651,339.9825,-15.1900,141.7700,-308.6400,-1.64286,-2.65568,-2.08791,123.767,4,1
1,1,2,0.205,0.000,0.000,0.000,24.9699,-335.5680,79.8450,345.8390,-13.2233,143.6700,-314.3067,-1.69231,-2.66484,-2.11172,123.780,4,1
1,1,3,0.399,0.000,0.000,0.000,23.2903,-334.3567,80.2736,344.6457,-14.7567,144.9367,-312.3400,-1.72100,-2.71123,-2.17338,124.090,4,1
1,1,4,0.608,0.000,0.000,0.000,24.3307,-332.6650,80.3486,343.0945,-14.0567,143.9033,-311.1400,-1.74847,-2.73504,-2.19841,124.107,4,1
1,1,5,0.816,0.000,0.000,0.000,24.3562,-331.3145,80.1915,341.7502,-14.8567,144.5033,-309.3400,-1.82357,-2.76801,-2.24298,124.085,4,1
1,1,6,1.026,0.000,0.000,0.000,4.0217,-331.8212,78.7438,341.0602,-16.5233,146.1700,-307.7067,-0.91941,-2.68193,-2.13248,126.949,4,1
1,1,7,1.238,0.000,0.000,0.000,19.6678,-335.0086,75.3096,343.9319,-16.1900,148.2033,-309.9400,-1.69475,-2.64896,-2.09646,123.690,4,1
1,1,8,1.434,0.000,0.000,0.000,21.7802,-339.4056,76.4273,348.5852,-14.5567,149.3367,-314.6400,-1.69292,-2.66728,-2.11050,123.745,4,1
1,1,9,1.629,0.000,0.000,0.000,20.5000,-338.8971,75.5132,347.8128,-14.8567,150.2367,-313.3400,-1.67949,-2.68315,-2.12576,123.884,4,1
1,1,10,1.836,0.000,0.000,0.000,24.1798,-343.1145,77.6936,352.6309,-13.4567,150.1700,-318.7733,-1.70879,-2.65079,-2.10012,123.659,4,1
2,1,1,0.015,40.000,0.000,0.000,-40.4586,-182.4921,-40.5521,191.2714,-17.4150,156.7283,-108.2483,-1.78938,-2.71245,-2.17460,123.791,0,1
2,1,2,0.225,40.000,0.000,0.000,-41.0826,-181.9576,-41.0829,191.0083,-18.2483,156.8117,-107.5233,-1.73810,-2.69780,-2.16117,123.957,0,1
2,1,3,0.435,40.000,0.000,0.000,-41.9835,-183.4303,-40.6158,192.5069,-18.6900,157.6700,-108.8567,-1.79304,-2.71673,-2.16789,123.664,0,1
2,1,4,0.633,40.000,0.000,0.000,-41.5330,-183.9461,-40.6518,192.9086,-18.7317,157.7117,-109.4983,-1.76496,-2.73016,-2.17766,123.816,0,1
2,1,5,0.84,40.000,0.000,0.000,-42.5856,-183.3090,-40.8692,192.5773,-19.1900,157.7533,-108.7733,-1.75824,-2.67766,-2.12821,123.599,0,1
2,1,6,1.035,40.000,0.000,0.000,-41.6924,-182.9519,-41.2323,192.1192,-18.1233,157.8533,-107.9983,-1.78938,-2.70513,-2.16484,123.722,0,1
2,1,7,1.233,40.000,0.000,0.000,-40.0929,-180.9067,-41.5973,189.9079,-16.8567,156.0450,-106.9150,-1.77167,-2.71978,-2.17094,123.775,0,1
2,1,8,1.456,40.000,0.000,0.000,-40.6601,-181.3118,-42.7916,190.6786,-16.8567,156.9367,-106.9817,-1.72894,-2.66606,-2.11233,123.614,0,1
2,1,9,1.651,40.000,0.000,0.000,-40.5692,-181.9182,-42.9250,191.2659,-16.5650,157.8950,-106.6650,-1.76740,-2.69780,-2.15751,123.781,0,1
2,1,10,1.86,40.000,0.000,0.000,-41.5518,-182.1262,-45.4423,192.2538,-16.8150,158.7950,-107.0650,-1.66361,-2.61905,-2.04579,123.399,0,1
0,2,1,0.006,-40.000,-40.000,0.000,-102.1228,-171.3258,225.2793,300.8860,-191.6650,-21.0800,-230.9817,-1.58425,-2.54212,-1.92735,122.759,0,1
0,2,2,0.214,-40.000,-40.000,0.000,-108.0404,-171.3173,228.1552,305.0855,-197.0650,-21.8467,-231.8733,-1.56838,-2.56166,-1.94872,122.975,0,1
0,2,3,0.437,-40.000,-40.000,0.000,-111.5817,-171.8187,224.5894,303.9943,-198.4567,-20.0967,-229.3983,-1.52503,-2.51770,-1.87912,122.553,0,1
0,2,4,0.634,-40.000,-40.000,0.000,-111.3199,-169.2523,228.3997,305.2947,-200.3983,-21.8883,-229.2733,-1.58425,-2.57631,-1.95910,122.933,0,1
0,2,5,0.842,-40.000,-40.000,0.000,-115.0551,-171.2206,227.7429,307.2801,-203.0650,-21.5967,-229.6067,-1.52747,-2.51893,-1.87668,122.499,0,1
0,2,6,1.039,-40.000,-40.000,0.000,-114.2591,-167.7644,232.0049,308.2634,-204.1233,-23.3467,-229.8150,-1.61844,-2.63980,-2.03480,123.311,0,1
0,2,7,1.261,-40.000,-40.000,0.000,-111.4885,-165.1754,231.2053,305.2352,-202.7317,-22.8300,-227.0400,-1.65018,-2.62088,-2.03907,123.360,0,1
0,2,8,1.472,-40.000,-40.000,0.000,-111.5840,-163.5891,231.4196,304.5774,-202.3150,-24.0800,-226.3983,-1.65385,-2.64774,-2.06838,123.527,0,1
0,2,9,1.681,-40.000,-40.000,0.000,-107.3781,-163.5756,233.6846,304.7877,-201.9983,-23.3467,-227.0400,-1.73199,-2.65629,-2.10134,123.531,0,1
0,2,10,1.895,-40.000,-40.000,0.000,-108.4282,-161.4838,231.6727,302.4995,-200.7317,-24.4133,-224.9817,-1.69536,-2.65568,-2.09585,123.632,0,1
1,2,1,0.005,0.000,-40.000,0.000,-83.8185,-199.0101,96.6597,236.5875,-117.8317,80.3367,-188.7733,-1.57509,-2.55922,-1.93651,122.798,0,1
1,2,2,0.218,0.000,-40.000,0.000,-106.7811,-205.8883,105.0544,254.6147,-141.8983,86.3783,-192.9567,-1.56532,-2.57265,-1.95543,122.997,0,1
1,2,3,0.425,0.000,-40.000,0.000,-114.5034,-207.3171,102.2402,257.9621,-147.9400,91.0450,-190.7067,-1.55617,-2.52625,-1.88278,122.397,0,1
1,2,4,0.635,0.000,-40.000,0.000,-116.0861,-207.7811,104.4391,259.9164,-149.9400,91.3533,-191.6483,-1.56410,-2.57692,-1.96581,123.110,0,1
1,2,5,0.845,0.000,-40.000,0.000,-113.2476,-199.8981,104.2593,252.2980,-147.6483,86.8533,-185.2317,-1.60317,-2.58730,-1.97863,123.027,0,1
1,2,6,1.042,0.000,-40.000,0.000,-112.9963,-201.4059,105.0592,253.7123,-147.5650,89.0033,-186.2067,-1.64408,-2.65812,-2.08852,123.752,0,1
1,2,7,1.268,0.000,-40.000,0.000,-116.5081,-202.1059,106.2649,256.3458,-151.4150,90.4200,-186.0400,-1.65751,-2.65263,-2.08852,123.731,0,1
1,2,8,1.462,0.000,-40.000,0.000,-116.2948,-201.3121,108.0337,256.3636,-152.6900,91.3950,-184.5400,-1.74908,-2.68254,-2.13431,123.682,0,1
1,2,9,1.685,0.000,-40.000,0.000,-121.2655,-203.4638,106.8094,259.8289,-156.0650,93.8783,-185.3150,-1.71062,-2.70391,-2.15140,123.917,0,1
1,2,10,1.882,0.000,-40.000,0.000,-120.0202,-202.5955,109.6270,259.7457,-156.4150,93.1450,-185.2733,-1.79487,-2.78327,-2.25458,124.246,0,1
2,2,1,0.011,40.000,-40.000,0.000,-84.7082,-127.9651,0.4537,153.4625,-75.9150,109.4367,-76.2317,-1.76496,-2.74237,-2.20269,124.036,0,1
2,2,2,0.206,40.000,-40.000,0.000,-79.1389,-131.8279,-0.6215,153.7594,-70.2900,111.2533,-79.5233,-1.81685,-2.78144,-2.25397,124.155,0,1
2,2,3,0.419,40.000,-40.000,0.000,-82.5467,-130.2498,3.7374,154.2496,-75.0817,108.6700,-79.6650,-1.81685,-2.74176,-2.21368,123.942,0,1
2,2,4,0.627,40.000,-40.000,0.000,-85.6743,-131.0803,0.6457,156.5968,-76.7733,111.7117,-78.4150,-1.75458,-2.71062,-2.17582,123.974,0,1
2,2,5,0.837,40.000,-40.000,0.000,-87.4145,-130.5456,1.0612,157.1133,-78.0817,112.7117,-76.7067,-1.84554,-2.76435,-2.23871,123.962,0,1
2,2,6,1.033,40.000,-40.000,0.000,-87.8707,-130.5699,-1.4943,157.3912,-77.9567,113.6450,-76.0233,-1.76190,-2.74542,-2.21978,124.234,0,1
2,2,7,1.256,40.000,-40.000,0.000,-88.6227,-131.2281,-0.2296,158.3504,-78.4983,114.6283,-75.9817,-1.84554,-2.75214,-2.23321,123.978,0,1
2,2,8,1.454,40.000,-40.000,0.000,-88.7991,-129.8763,-1.4223,157.3377,-78.2900,114.1700,-74.7733,-1.81441,-2.74176,-2.21123,123.923,0,1
2,2,9,1.648,40.000,-40.000,0.000,-89.6412,-129.9626,-2.4407,157.8980,-78.6650,114.7117,-74.7317,-1.78694,-2.72589,-2.17521,123.718,0,1
2,2,10,1.856,40.000,-40.000,0.000,-89.4257,-128.4277,-3.3633,156.5309,-77.9983,114.0617,-73.5400,-1.73993,-2.65568,-2.09951,123.476,0,1
